preds,statements,ids
Dmitry Mikhailovich Golitsyn served longer as an ambassador compared to Andrey Kirillovich Razumovsky.,did dmitry mikhailovich golitsyn or andrey kirillovich razumovsky serve as ambassador longer?,nu-3365
"Kyunghyun Kim, Christoffer Lindhe, Arnost Petracek, Ronystony Cordeiro da Silva, Grant Patterson",which person(s) had a time of at least 40 seconds or more?,nu-3138
France,what country had the largest number of drivers?,nu-2135
The total number of competitions is 20.,what is the total number of competition?,nu-290
"""Never Tell""",the title of the last show was...,nu-3940
The total number of games played against Japan is 4.,what is the total number of games played against japan?,nu-4028
Young Forever,"which episode came first, young forever or you oughta know?",nu-3762
There are 4 top goalscorers with 30 or more goals.,how many top goalscorers have 30 or more goals?,nu-1889
"2 hours, 7 minutes, and 2.8248 seconds",how long did it take ryan briscoe to finish the 2012 gopro indy grand prix of sonoma?,nu-336
Qu Bo,who is china's top scorer in friendly matches?,nu-2563
26 candidates are over 1.8 meters tall.,how many candidates are over 1.8 meters tall?,nu-3430
Canada,who has the most quantity of all nations?,nu-174
There are 5 Russian detainees at Guantanamo.,what is the number of russian detainees at guantanamo?,nu-1498
"No, St Helen Elementary School does not have a larger student/teacher ratio than Good Shepherd Early Childhood.",does st helen elementary school have a larger student/teacher ratio than good shepherd early childhood?,nu-3746
The number of floods in the 1900's is 22.,the number of floods in the 1900's?,nu-2042
"Burton Township, Ohio and Troy Township, Ohio",where is agape christian academy located?,nu-4257
4 derivatives are cold water soluble.,how many total derivatives are cold water soluble?,nu-1646
Above,is earl marshal listed above or below lord privy seal?,nu-502
14,what is the number of elements with a transient occurrence?,nu-3519
13,what is the number of years tony gulotta race?,nu-2166
The last stadium opened was in 2013.,what was the last stadium opened?,nu-1716
There are 9 reactors that are still operational.,what is the number of reactors that are still operational?,nu-1490
1998-05-01,what was the date of the first vessel that was acquired?,nu-4296
4,how many countries earned gold medals?,nu-2610
The Sopwith Triplane s/n N5460 was used before the 7th aerial victory.,what aircraft was used before the 7th aerial victory?,nu-4319
The first name listed in the table is not available.,who is the first name listed in the table?,nu-3686
4,how many games did the rough riders play before october 16?,nu-1378
7,what is the number of wins by jaguar xjs?,nu-47
Ryan Hunter-Reay,which driver only scored 1 point?,nu-3602
There were 4 competitors from the United States.,how many competitors were from the united states?,nu-2172
The least entry listed under notes is 61.26 m.,what is the least entry listed under notes?,nu-4325
5,how many imparja cup victories has queensland had?,nu-2198
2007,"which year had more competitions, 2006 or 2007?",nu-3060
Isabelle Raisa is 170 cm (5 ft 7 in) tall.,how long in height is isabelle raisa?,nu-1935
The number of Brazilian goalscorers was one.,how many goalscorers were brazilian?,nu-2683
14,how many total times did they not qualify for open cup?,nu-3943
The time period from 1982 to 1985 had no shirt sponsor.,what time period had no shirt sponsor?,nu-8
There are 12 runner-up titles.,how many runner-up titles are there?,nu-3938
278 games were played in one year.,"at most, how many games were played in one year?",nu-3021
The total number of deaths outside of prisons and camps is 0.,what is the total number of deaths outside of prisons and camps?,nu-3640
